;abba;acpe;acsa;beal;bepa;fagr;piru
60-560;10;1;0;12;4;1;6
60-580;11;0;0;7;11;1;11
60-60;0;1;5;1;0;12;1
60-600;17;2;1;13;19;0;5
60-620;9;0;0;13;8;0;3
60-640;5;0;0;16;2;0;1
60-660;5;1;0;17;1;0;2
60-680;1;0;0;19;0;0;1
60-700;1;0;0;12;3;0;3
60-720;1;0;1;12;1;0;1
60-740;2;0;0;15;0;0;1
60-760;6;0;0;10;0;0;2
60-780;3;0;0;10;0;0;1
60-80;1;2;10;0;0;9;2
60-800;5;0;0;17;3;0;0
60-820;6;0;1;7;1;0;0
60-840;8;0;0;11;1;0;3
60-860;6;0;0;13;1;0;2
60-880;6;0;0;14;5;0;1
60-900;9;0;0;9;4;0;3
60-920;10;0;0;10;11;0;6
60-940;28;0;0;17;9;0;5
60-960;20;0;0;8;14;0;4
60-980;28;0;0;5;16;0;4
80-0;0;14;28;1;0;82;1
80-100;0;14;20;0;5;97;5
80-120;1;35;5;12;2;103;21
80-140;9;34;5;37;1;28;43
80-160;1;29;0;31;0;15;9
80-180;6;83;11;42;2;10;22
80-20;0;9;49;1;0;125;0
80-200;0;71;27;5;0;18;8
80-220;17;56;8;15;0;5;8
80-240;8;131;13;13;4;7;13
80-260;7;99;6;38;1;6;39
80-280;7;24;17;17;0;4;18
80-300;1;1;6;8;0;4;0
80-320;0;1;19;6;1;0;0
80-340;0;0;20;7;9;1;0
80-360;0;4;24;6;2;3;0
80-380;0;1;11;2;0;4;0
80-40;0;25;9;3;0;130;1
80-400;0;0;18;2;1;1;0
80-420;2;0;12;10;4;2;0
80-440;1;0;22;6;4;0;0
80-460;1;0;5;14;7;1;0
80-480;0;0;13;7;0;0;0
80-500;9;2;0;9;7;0;5
80-520;2;4;0;7;5;0;0
80-540;4;2;0;7;10;0;0
80-560;16;3;0;4;12;0;2
80-580;23;0;0;2;9;0;3
80-60;0;21;6;4;0;121;4
80-600;23;0;0;6;27;0;0
80-620;17;0;1;11;5;0;2
80-640;5;2;0;20;6;0;4
80-660;6;5;0;22;5;0;8
80-680;14;2;0;18;9;0;3
80-700;8;1;0;18;1;0;3
80-720;7;0;0;18;0;0;0
80-740;4;1;0;14;0;0;3
80-760;5;2;0;15;7;0;3
80-780;2;0;0;17;0;0;2
80-80;0;29;12;5;0;174;7
80-800;1;0;0;16;0;0;2
80-820;6;0;0;12;1;0;2
80-840;10;0;0;10;1;0;2
80-860;14;0;0;12;6;0;5
80-880;8;0;0;11;0;0;3
80-900;20;0;0;8;3;0;4
80-920;10;0;0;16;1;0;3
80-940;20;0;0;15;5;0;1
80-960;19;0;0;8;12;0;5
80-980;22;0;0;0;18;0;3
