"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Porzana carolina","Porzana carolina","species","Marouette de caroline","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina"
"Podilymbus podiceps","Podilymbus podiceps","species","Grèbe à bec bigarré","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps"
"Pandion haliaetus","Pandion haliaetus","species","Balbuzard pêcheur","Animalia","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus"
"Cistothorus palustris","Cistothorus palustris","species","Troglodyte des marais","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cistothorus","Cistothorus palustris"
"Botaurus lentiginosus","Botaurus lentiginosus","species","Butor d'amérique","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus lentiginosus"
"Zenaida macroura","Zenaida macroura","species","Tourterelle triste","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura"
"Vireo flavifrons","Vireo flavifrons","species","Viréo à gorge jaune","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo flavifrons"
"Vermivora cyanoptera","Vermivora cyanoptera","species","Paruline à ailes bleues","Animalia","Chordata","Aves","Passeriformes","Parulidae","Vermivora","Vermivora cyanoptera"
"Troglodytes aedon","Troglodytes aedon","species","Troglodyte familier","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon"
"Tachycineta bicolor","Tachycineta bicolor","species","Hirondelle bicolore","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor"
"Haemorhous mexicanus","Haemorhous mexicanus","species","Roselin familier","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"Ardea herodias","Ardea herodias","species","Grand héron","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias"
"Hydroprogne caspia","Hydroprogne caspia","species","Sterne caspienne","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia"
"Poecile atricapillus","Poecile atricapillus","species","Mésange à tête noire","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus","species","Pygargue à tête blanche","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus"
"Catharus bicknelli","Catharus bicknelli","species","Grive de bicknell","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus bicknelli"
"Sialia sialis","Sialia sialis","species","Merlebleu de l'est","Animalia","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia sialis"
