"auteur1","auteur2","articleID"
"Holger Kreft","Dominique Gravel","grossman2018"
"Simone Mereu","Dominique Gravel","grossman2018"
"Christian Messier","Dominique Gravel","grossman2018"
"Bart Muys","Dominique Gravel","grossman2018"
"Charles Nock","Dominique Gravel","grossman2018"
"Alain Paquette","Dominique Gravel","grossman2018"
"John Parker","Dominique Gravel","grossman2018"
"Michael P. Perring","Dominique Gravel","grossman2018"
"Quentin Ponette","Dominique Gravel","grossman2018"
"Peter B. Reich","Dominique Gravel","grossman2018"
"Andreas Schuldt","Dominique Gravel","grossman2018"
"Michael Staab","Dominique Gravel","grossman2018"
"Martin Weih","Dominique Gravel","grossman2018"
"Delphine Clara Zemp","Dominique Gravel","grossman2018"
"Michael Scherer-Lorenzen","Dominique Gravel","grossman2018"
"Kris Verheyen","Dominique Gravel","grossman2018"
"Jake J. Grossman","Andy Hector","grossman2018"
"Margot Vanhellemont","Andy Hector","grossman2018"
"Nadia Barsoum","Andy Hector","grossman2018"
"Jürgen Bauhus","Andy Hector","grossman2018"
"Helge Bruelheide","Andy Hector","grossman2018"
"Bastien Castagneyrol","Andy Hector","grossman2018"
"Jeannine Cavender-Bares","Andy Hector","grossman2018"
"Nico Eisenhauer","Andy Hector","grossman2018"
"Olga Ferlian","Andy Hector","grossman2018"
"Dominique Gravel","Andy Hector","grossman2018"
"Hervé Jactel","Andy Hector","grossman2018"
"Holger Kreft","Andy Hector","grossman2018"
"Simone Mereu","Andy Hector","grossman2018"
"Christian Messier","Andy Hector","grossman2018"
"Bart Muys","Andy Hector","grossman2018"
"Charles Nock","Andy Hector","grossman2018"
"Alain Paquette","Andy Hector","grossman2018"
"John Parker","Andy Hector","grossman2018"
"Michael P. Perring","Andy Hector","grossman2018"
"Quentin Ponette","Andy Hector","grossman2018"
"Peter B. Reich","Andy Hector","grossman2018"
"Andreas Schuldt","Andy Hector","grossman2018"
"Michael Staab","Andy Hector","grossman2018"
"Martin Weih","Andy Hector","grossman2018"
"Delphine Clara Zemp","Andy Hector","grossman2018"
"Michael Scherer-Lorenzen","Andy Hector","grossman2018"
"Kris Verheyen","Andy Hector","grossman2018"
"Jake J. Grossman","Hervé Jactel","grossman2018"
"Margot Vanhellemont","Hervé Jactel","grossman2018"
"Nadia Barsoum","Hervé Jactel","grossman2018"
"Jürgen Bauhus","Hervé Jactel","grossman2018"
"Helge Bruelheide","Hervé Jactel","grossman2018"
"Bastien Castagneyrol","Hervé Jactel","grossman2018"
"Jeannine Cavender-Bares","Hervé Jactel","grossman2018"
"Nico Eisenhauer","Hervé Jactel","grossman2018"
"Olga Ferlian","Hervé Jactel","grossman2018"
"Dominique Gravel","Hervé Jactel","grossman2018"
"Andy Hector","Hervé Jactel","grossman2018"
"Holger Kreft","Hervé Jactel","grossman2018"
"Simone Mereu","Hervé Jactel","grossman2018"
"Christian Messier","Hervé Jactel","grossman2018"
"Bart Muys","Hervé Jactel","grossman2018"
"Charles Nock","Hervé Jactel","grossman2018"
"Alain Paquette","Hervé Jactel","grossman2018"
"John Parker","Hervé Jactel","grossman2018"
"Michael P. Perring","Hervé Jactel","grossman2018"
