"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Cabares potrillo","Cabares potrillo","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Cabares","Cabares potrillo"
"Cogia calchas","Cogia calchas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Cogia","Caicella calchas"
"Nastra julia","Nastra julia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Nastra","Nastra julia"
"Pyrgus philetas","Pyrgus philetas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus philetas"
"Staphylus mazans","Staphylus mazans","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Staphylus","Staphylus mazans"
"Wallengrenia otho","Wallengrenia otho","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Wallengrenia","Wallengrenia otho"
"Battus polydamas","Battus polydamas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Battus","Battus polydamas"
"Pyrisitia proterpia","Pyrisitia proterpia","species","Eurema proterpia","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pyrisitia","Pyrisitia proterpia"
"Amblyscirtes aesculapius","Amblyscirtes aesculapius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes","Amblyscirtes aesculapius"
"Callophrys irus","Callophrys irus","species","Lutin givré","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys","Thecla irus"
"Erebia mancinus","Erebia mancinus","species","Alpin à ocelles rouges","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia mancinus"
"Erebia disa","Erebia disa","species","Moiré boréal","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia disa"
"Asterocampa clyton","Asterocampa clyton","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Asterocampa","Asterocampa clyton"
"Atrytonopsis hianna","Atrytonopsis hianna","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atrytonopsis","Atrytonopsis hianna"
"Euphyes bimacula","Euphyes bimacula","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes bimacula"
"Euphyes conspicua","Euphyes conspicua","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes conspicua"
"Pieris angelika","Pieris angelika","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris angelika"
"Oeneis polixenes","Oeneis polixenes","species","Nordique alpin","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis polixenes"
"Erebia occulta","Erebia occulta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia occulta"
"Erebia youngi","Erebia youngi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia youngi"
"Colias palaeno","Colias palaeno","species","Solitaire","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias palaeno"
"Plebejus optilete","Plebejus optilete","species","Azuré de la canneberge","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Vacciniina optilete"
"Oeneis uhleri","Oeneis uhleri","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis uhleri"
"Chlosyne damoetas","Chlosyne damoetas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne damoetas"
"Plebejus shasta","Plebejus shasta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus shasta"
"Phyciodes mylitta","Phyciodes mylitta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Eresia","Phyciodes mylitta"
"Cercyonis oetus","Cercyonis oetus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cercyonis","Cercyonis oetus"
"Colias occidentalis","Colias occidentalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias occidentalis"
"Lycaena editha","Lycaena editha","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena editha"
"Atalopedes campestris","Atalopedes campestris","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atalopedes","Atalopedes campestris"
"Erynnis funeralis","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis funeralis"
